Name,Bronze,Gold,Silver,Total
Margaret Joyce Cooper (-Badcock),3,0,1,4
Mary Alice Wayte (-Bradburne),1,2,1,4
Massimiliano Edgar Rosolino,2,1,1,4
McINTOSH Summer,0,3,1,4
Michael Jay "Mike" Burton,0,4,0,4
Michael Steward "Mike" Heath,0,3,1,4
Michael Vincent "Mike" Wenden,1,2,1,4
Michelle Marie Smith (-De Bruin),1,3,0,4
Mireia Belmonte Garca,1,1,2,4
Nancy Lynn Hogshead (-Makar),0,3,1,4
Neil Scott Walker,1,2,1,4
Pang Jiaying,2,0,2,4
Park Tae-Hwan,0,1,3,4
Penelope "Penny" Oleksiak,2,1,1,4
Peter Maxwell Evans,3,1,0,4
Peter William Vanderkaay,2,2,0,4
Ranomi Kromowidjojo,0,3,1,4
Rebecca "Becky" Adlington,2,2,0,4
Robert Earl "Bob" Bennett,2,2,0,4
Robert George "Bob" Windle,2,1,1,4
Sergey Viktorovich Koplyakov,0,2,2,4
Sharon Marie Stouder (-Clark),0,3,1,4
Simone Ashley Manuel,0,2,2,4
Simone Osygus (-Brune),2,0,2,4
Steffen Zesner,3,0,1,4
"Summer Elisabeth Sanders (-Henderson, -Schlopy)",1,2,1,4
Susan Christina "Chris" von Saltza (-Olmstead),0,3,1,4
Susan Jane "Sue" Pedersen (-Pankey),0,2,2,4
TITMUS Ariarne,0,2,2,4
Takeshi Matsuda,3,0,1,4
Tams Darnyi,0,4,0,4
Thor Bernhard Henning,1,0,3,4
Victor Davis,0,1,3,4
Viktor Georgiyevich Mazanov,2,0,2,4
Vladimir Valeryevich Bure,3,0,1,4
Vladimir Valeryevich Salnikov,0,4,0,4
Vladimir Vasilyevich "Vlad" Pyshnenko,0,1,3,4
WALSH Gretchen,0,2,2,4
YANG Junxuan,3,0,1,4
Zhuang Yong,0,1,3,4
va Grard-Novk,1,1,2,4
Aagje "Ada" Kok (-van der Linden),0,1,2,3
Adam Robert Pine,0,1,2,3
Aleksandra Viktorovna Gerasimenya,1,0,2,3
Alexander Timothy "Tim" McKee,0,0,3,3
Alice Mary Mills (-Tait),1,2,0,3
Allan Frederick Wood,3,0,0,3
"Ambrose ""Rowdy"" Gaines, IV",0,3,0,3
Andrew George Lauterstein,2,0,1,3
Ann Elisabeth Curtis (-Cuneo),0,2,1,3
Anna Maria Theodora Petra "Annemarie" Verstappen (-Janssen),2,0,1,3
Anne Ottenbrite (-Muylaert),1,1,1,3
Arsens Miskarovs,1,0,2,3
Ashley Tara Tappin (-Doussan),0,3,0,3
Barbara Krause (-Wanja),0,3,0,3
Birte Weigang (-Rode),0,1,2,3
Brenton Scott Rickard,1,0,2,3
Britta Steffen,1,2,0,3
Brooke Marie Bennett (-Frioud),0,3,0,3
Bruce Richard Robertson,1,0,2,3
CHALMERS Kyle,1,0,2,3
Camille-Marie Manuella Muffat,1,1,1,3
"Carl Joseph Robie, III",0,2,1,3
Carmela Schmidt (-Ertel),2,1,0,3
Carolyn Lynne "Carrie" Steinseifer (-Bates),0,3,0,3
Cecil Patrick Healy,1,1,1,3
Christian David Sprenger,1,0,2,3
Christian-Alexander Trger,3,0,0,3
Christine M. "Crissy" Ahmann-Leighton (-Perham),0,2,1,3
Christopher Charles "Chris" Jacobs,0,2,1,3
Claudia Anne Kolb,0,2,1,3
Claudia Mara Poll Ahrens,2,1,0,3
Conor James Dwyer,1,2,0,3
Cornelia "Conny" van Bentum,1,0,2,3
Cornelia Sirch (Embacher-),2,1,0,3
Csar Augusto Cielo Filho,2,1,0,3
Curtis Allen Myden,3,0,0,3
DRESSEL Caeleb,0,2,1,3
Danyon Joseph Loader,0,2,1,3
David Andrew Wilkie,0,1,2,3
David Egmont Theile,0,2,1,3
David Gavin Dickson,3,0,0,3
Deborah Elizabeth "Debbie" Meyer (-Weber),0,3,0,3
Denis Vladimirovich Pankratov,0,2,1,3
Diana Marie Munz (-DePetro),1,1,1,3
Dmitry Arkadyevich Volkov,2,0,1,3
Donna Elizabeth de Varona (-Pinto),0,3,0,3
Douglas Seneca "Doug" Gjertsen,1,2,0,3
Eamon Wade Sullivan,1,0,2,3
Elaine Tanner (-Watt),1,0,2,3
Elizabeth "Betsy" Mitchell,0,1,2,3
Erik K. Vendt,0,1,2,3
Ethelda Marguerite Bleibtrey (-Schlatke),0,3,0,3
FINK Nic,0,1,2,3
