Name,Bronze,Gold,Silver,Total
Nlson Prudncio,1,0,1,2
Norman Frederick Hallows,1,1,0,2
Norman Gilbert Pritchard (-Trevor),0,0,2,2
Norman Stephen "Norm" Taber,1,1,0,2
Olesya Nikolayevna Zykina,1,0,1,2
Olga Nikolayevna Kaniskina,0,1,1,2
Olga Pavlovna Syrovatskaya-Mineyeva,0,1,1,2
Olga Sergeyevna Kuzenkova,0,1,1,2
Olga Sergeyevna Rypakova (Alekseyeva-),1,1,0,2
Ollie Genoa Matson,1,0,1,2
Osleidys Menndez Sez,1,1,0,2
"Othilie ""Tilly"" Fleischer (-Heuser, -Grote)",1,1,0,2
Otis Crandall Davis,0,2,0,2
"Otis Harris, Jr.",0,1,1,2
Otis Paul Drayton,0,1,1,2
PEETERS Cathelijn,0,1,1,2
PEREZ Maria,0,1,1,2
PINTADO Brian Daniel,0,1,1,2
Pamela "Pam" Kilborn-Ryan (-Nelson),1,0,1,2
Patrick "Pat" O'Callaghan,0,2,0,2
Patrick James "Paddy" Ryan,0,1,1,2
Patrick Joseph "Pat" Leahy,1,0,1,2
Paul Ezekiel Bitok,0,0,2,2
Paul Kibii Tergat,0,0,2,2
Paula Ivan (-Ilie),0,1,1,2
Percy Alfred Williams,0,2,0,2
Percy Hodge,0,1,1,2
Peter Frank Radford,2,0,0,2
Peter Frenkel,1,1,0,2
Peter O'Connor,0,1,1,2
Petra Mller (-Schersing),1,0,1,2
Piotr Maachowski,0,0,2,2
Platt Adams,0,1,1,2
Primo Kozmus,0,1,1,2
Quincy Dushawn Watts,0,2,0,2
REARDON Samuel,2,0,0,2
RICHARDSON Sha'carri,0,1,1,2
Rafer Lewis Johnson,0,1,1,2
Ral Gonzlez Rodrguez,0,1,1,2
Ralph Cook Craig,0,2,0,2
Ramon Salomon Miller,0,1,1,2
Randel Lavelle "Randy" Williams,0,1,1,2
Raymond James "Ray" Barbuti,0,2,0,2
Rbson Caetano da Silva,2,0,0,2
Reinhold William Eugen Petersson (-Bjrneman),1,1,0,2
Renaud Lavillenie,0,1,1,2
Richard "Dick" Sheldon,1,1,0,2
Rita Jahn-Wilden,1,0,1,2
Robert "Bobby" Kerr,1,1,0,2
Robert Bruce "Bob" Mathias,0,2,0,2
Robert Earl Johnson,1,0,1,2
Robert James Taylor,0,1,1,2
Robert Lee "Bob" Hayes,0,2,0,2
Robert Lloyd "Bob" Seagren,0,1,1,2
Robert Sedgewick Stangland,2,0,0,2
Rochelle Stevens,0,1,1,2
Roger Nona Kingdom,0,2,0,2
Rolf Danneberg,1,1,0,2
Roman ebrle,0,1,1,2
Romas Ubartas,0,1,1,2
Romuald Iosifovich Klim,0,1,1,2
"Ronald John ""Ron"" Freeman, III",1,1,0,2
Rosa Mara Correia dos Santos Mota,1,1,0,2
Rosemarie Whyte,2,0,0,2
"Ruth Fuchs (Gamm-, -Hellmann)",0,2,0,2
Sad Aouita,1,1,0,2
Sally Jane Janet Gunnell (-Bigg),1,1,0,2
Sally McLellan-Pearson,0,1,1,2
"Samuel Louis ""Sam"" Graddy, III",0,1,1,2
Sandra Perkovi,0,2,0,2
Savatheda Fynes,0,1,1,2
Sergey Aleksandrovich Makarov,2,0,0,2
Sergey Nikolayevich Litvinov,0,1,1,2
Shereefa Lloyd,2,0,0,2
Shericka Jackson,1,0,1,2
Sherri Frances Howard,0,1,1,2
Shuhei Nishida,0,0,2,2
Sidney James Montford "Sid" Atkinson,0,1,1,2
Sileshi Mekuria Sihine,0,0,2,2
Silvia Chivs Bar,2,0,0,2
"Stanisawa Walasiewicz (-Walsh, -Olson)",0,1,1,2
"Stefka Georgieva Kostadinova (-Petrova, -Popovasileva)",0,1,1,2
Stephen Michael John "Steve" Ovett,1,1,0,2
Svensk Hjalmar Zakeus Andersson,0,1,1,2
Svetlana Aleksandrovna Masterkova,0,2,0,2
Svetlana Yevgenyevna Feofanova,1,0,1,2
TEBOGO Letsile,0,1,1,2
Tadeusz lusarski,0,1,1,2
Tatyana Mikhaylovna Ledovskaya,0,1,1,2
Tatyana Sergeyevna Chernova,2,0,0,2
Tatyana Vladimirovna Kotova,2,0,0,2
Terrence R. Trammell,0,0,2,2
Tetiana Vasylivna Prorochenko (-Burakova),1,1,0,2
Thomas "Tommy" Hampson,0,1,1,2
Thomas Edmund "Tom" Burke,0,2,0,2
"Thomas Edward ""Eddie"" Tolan, Jr.",0,2,0,2
Thomas Truxtun Hare,1,0,1,2
Thomas William "Tom" Courtney,0,2,0,2
Timothy "Tim" Montgomery,0,1,1,2
Tomasz Majewski,0,2,0,2
Tony McQuay,0,1,1,2
Tsvetanka Mincheva Khristova,1,0,1,2
Udo Beyer,1,1,0,2
Ulrike Meyfarth (-Nasse),0,2,0,2
Urho Pellervo Peltonen,1,0,1,2
Valentina Mikhaylovna Yegorova (Vasilyeva-),0,1,1,2
Valery Nikolayevich Brumel,0,1,1,2
Vasily Dmitriyevich Kuznetsov,2,0,0,2
Vera Vasilyevna Anisimova (Mikheyeva-),1,0,1,2
Vera Yakovlevna Komisova (Nikitina-),0,1,1,2
Vicente Lenlson de Lima,1,0,1,2
Viktor Fyodorovich Markin,0,2,0,2
Viktor Serhiyovych Tsybulenko,1,1,0,2
Vincent Edward "Vince" Matthews,0,2,0,2
Vincent Franz Harry Edward,2,0,0,2
Vitold Anatolyevich Kreyer,2,0,0,2
Vladimir Georgiyevich Sukharev,0,0,2,2
Vladimir Pavlovich Muravyov,0,2,0,2
Volker Beck,0,1,1,2
Volodymyr Petrovych Kuts,0,2,0,2
WILLIAMS Jodie,2,0,0,2
WILSON Quincy,0,1,1,2
Walter Dix,2,0,0,2
Wang Junxia,0,1,1,2
Wang Zhen,1,1,0,2
Wendell Adrian Mottley,1,0,1,2
Wilbur D. "Willie" Davenport,1,1,0,2
Wilhelmina Catherine "Billie" von Bremen (-Asch),1,1,0,2
Willem Frederik "Wim" Slijkhuis,2,0,0,2
William "Billy" Cottrill,2,0,0,2
William Arthur "Bill" Carr,0,2,0,2
William Franklyn "Bill" Verner,0,0,2,2
William Henry "Bill" Nieder,0,1,1,2
William Raymond Seagrove,0,0,2,2
William Reuben "Willie" Applegarth,1,1,0,2
Willye Brown White,0,0,2,2
Wilson Arap Chuma Kiprugut,1,0,1,2
Wilson Kosgei Kipketer,1,0,1,2
Wincatherine Nyambura "Catherine" Ndereba,0,0,2,2
Winthrop Graham,0,0,2,2
Wolfgang Nordwig,1,1,0,2
YEARGIN Nicole,2,0,0,2
Yelena Nikolayevna Nikolayeva (Kuznetsova-),0,1,1,2
Yelena Yegorovna Gorchakova,2,0,0,2
Yipsi Moreno Gonzlez,0,0,2,2
Yordanka Blagoeva Ivanova,1,0,1,2
Yordanka Lyubchova Donkova,1,1,0,2
Yuko Arimori (-Wilson),1,0,1,2
Yury Semyonovich Konovalov,0,0,2,2
Zhang Wenxiu,1,0,1,2
ABDI Bashir,0,0,1,1
ADJIBI Eliezer,0,1,0,1
ALEKNA Mykolas,0,0,1,1
ALLMAN Valarie,0,1,0,1
AREGAWI Berihu,0,0,1,1
AROP Marco,0,0,1,1
ASEMOTA Duan,0,1,0,1
ASHER-SMITH Dina,0,0,1,1
ASSEFA Tigst,0,0,1,1
AZU Jeremiah,1,0,0,1
Aaron Brown,1,0,0,1
Aaron Egbele,1,0,0,1
Aaron Nigel Armstrong,0,1,0,1
Abderrahmane Hammad Zaheer,1,0,0,1
Abdoulaye "Abdou" Sye Papa,1,0,0,1
Abel Kiprop Mutai,1,0,0,1
Abel Kirui,0,0,1,1
Adalberts Bubenko,1,0,0,1
Adam Beattie Gunn,0,0,1,1
Addis Abebe,1,0,0,1
Ade Franci Alleyne-Forte,1,0,0,1
Adolphe Gaston Ragueneau,0,0,1,1
Adrian Peter Metcalfe,0,0,1,1
Agnes Osazuwa (-Olatunji),1,0,0,1
Ahmed Muhammad Boughera El Ouafi,0,1,0,1
Ahmed Salah Houssein,1,0,0,1
Aigars Fadejevs,0,0,1,1
Aikaterini "Ekaterini" Stefanidi,0,1,0,1
Aikaterini Thanou,0,0,1,1
Aileen Aletha Meagher,1,0,0,1
Ainrs Kovals,0,0,1,1
Akeem Haynes,1,0,0,1
Alajos (Aljoz) Szokoly (-Szokol),1,0,0,1
Alan Boone Helffrich,0,1,0,1
Alan Peter Pascoe,0,0,1,1
Alastair McCorquodale,0,0,1,1
Albert Alphonse Champoudry,0,0,1,1
Albert Clinton Tyler,0,0,1,1
Albert Lawrence,0,0,1,1
Albert Lovejoy Gutterson,0,1,0,1
Alberto Cova,0,1,0,1
Albin Georges Lermusiaux,1,0,0,1
Aleen May Bailey,0,1,0,1
Aleksander Klumberg (-Kolmpere),1,0,0,1
Aleksander Tammert,1,0,0,1
Aleksandr Aleksandrovich Anufriyev,1,0,0,1
Aleksandr Fyodorovich Makarov,0,0,1,1
Aleksandr Nikolayevich Puchkov,1,0,0,1
Aleksandr Olegovich Kornelyuk,0,0,1,1
Aleksandr Yuryevich Kovalenko,1,0,0,1
Aleksandra Andreyevna Fedoriva,0,1,0,1
Aleksey Nikolayevich Voyevodin,1,0,0,1
Aleksey Sergeyevich Spiridonov,0,0,1,1
Alessandro "Sandro" Bellucci,1,0,0,1
Alessandro Andrei,0,1,0,1
Alessandro Lambruschini,1,0,0,1
Alex Schwazer,0,1,0,1
Alexander Thieme,0,0,1,1
Alexandre Casimir Charles Poulenard,0,0,1,1
Alfred Carleton "A. C." Gilbert,0,1,0,1
Alfred Dompert,1,0,0,1
Alfred Hearn Healey,0,0,1,1
Alfred Hilborn "Al" Bates,1,0,0,1
Alfred Hubert Nichols,0,0,1,1
Alfred Kirwa Yego,1,0,0,1
Alfred Lord "Al" Fitch,0,0,1,1
Alfredrick Alphonzo "Al" Joyner,0,1,0,1
Ali Ezzine,1,0,0,1
Ali Sadi-Sief,0,0,1,1
Alice Marie Coachman (-Davis),0,1,0,1
"Alina (Galina-) Astafei (-Stavariu, -Kreiig)",0,0,1,1
Allan Cleave Evan Lawrence,1,0,0,1
Allen Kenneth Johnson,0,1,0,1
Allen Woodring,0,1,0,1
Alma Wilford Richards,0,1,0,1
Alonzo Russell,1,0,0,1
Alvah T. Meyer,0,0,1,1
Amelia Piccinini,0,0,1,1
Amos Kipwabok Biwott,0,1,0,1
Ana Gabriela Guevara Espinoza,0,0,1,1
Anatoly Arkadyevich Mikhaylov,1,0,0,1
Anatoly Vasilyevich Samotsvetov,1,0,0,1
Andr Castanet,0,0,1,1
Andr Lamar Phillips,0,1,0,1
Andr Lauseig,1,0,0,1
Andr mile Devaux,1,0,0,1
Andrae Williams,0,0,1,1
Andrea Arlene Anderson (-Bolder),0,1,0,1
Andreas Knebel,0,0,1,1
Andrej Tiwontschik,1,0,0,1
Andretti "Dretti" Bain,0,0,1,1
Andrew Rock,0,1,0,1
Andrew Steele,1,0,0,1
Andrey Aleksandrovich Silnov,0,1,0,1
Andrey Borisovich Perlov,0,1,0,1
Andrey Khakimovich Abduvaliyev,0,1,0,1
Andrey Sergeyevich Kravchenko,0,0,1,1
Andrey Vasilyevich Prokofyev,0,1,0,1
Andria Lloyd,1,0,0,1
Andrs Simn Gmez,1,0,0,1
Andrzej Franciszek Zieliski,0,0,1,1
Andrzej Stanisaw Badeski,1,0,0,1
Anette Rckes (-Vater-Hlsdnker),1,0,0,1
Angela Bailey,0,0,1,1
Angela Frances Chalmers (-Espinoza),1,0,0,1
Angela Voigt (Schmalfeld-),0,1,0,1
Angella Marie Taylor-Issajenko,0,0,1,1
Angla Nmeth-Rnky,0,1,0,1
Anioara Stanciu-Cumir,0,1,0,1
Anita Mrton,1,0,0,1
Anja Rcker,1,0,0,1
Anke Behmer (Vater-),1,0,0,1
Ann-Britt Leyman (-Olsson),1,0,0,1
Anna Ella Amalie "Anni" Holdmann (-Wierth),1,0,0,1
Anna Rogowska,1,0,0,1
Annamria Kovcs-Tth,1,0,0,1
Anne Pashley (-Irons),0,0,1,1
"Annegret ""Anne"" Kroniger (-Boller-, -Wolf)",0,0,1,1
Anneisha McLaughlin-Whilby,0,0,1,1
Anneliese Ehrhardt (Jahns-),0,1,0,1
Anni Biechl (-Capeller),0,0,1,1
Anni Steuer (-Ludewig),0,0,1,1
Antal Kiss,0,0,1,1
Antal Rka,1,0,0,1
Antanas Miknas,0,0,1,1
Anthony "Anton" Hegarty,0,0,1,1
Anthony "Tony" Sharpe,1,0,0,1
Anthony Eugene "Tonie" Campbell,1,0,0,1
Anthony Michael "Tony" Dees,0,0,1,1
Anthony William "Nick" Winter,0,1,0,1
Anthuan Maybank,0,1,0,1
Antnio Carlos Carvalho Nogueira Leito,1,0,0,1
Antoine Richard,1,0,0,1
Antonina Nikolayevna Okorokova-Lazareva,0,0,1,1
Antonina Vladimirovna Krivoshapka,0,0,1,1
Antonio Pealver Asencio,0,0,1,1
Antonio Siddi,1,0,0,1
Antti Hermanni Ruuskanen,1,0,0,1
Antti Tapani Kalliomki,0,0,1,1
Archibald Franklin "Archie" Williams,0,1,0,1
Ardalion Vasilyevich Ignatyev,1,0,0,1
Argentina Menis,0,0,1,1
Aries D'Andre Merritt,0,1,0,1
Arlie Alfred Schardt,0,1,0,1
Arman Hall,0,1,0,1
Armand Alexandre Fayollat,1,0,0,1
Armas Adam Toivonen,1,0,0,1
Arnaldo de Oliveira da Silva,1,0,0,1
Arne Per hman,0,1,0,1
Arnold Nugent Strode Jackson (-Strode-Jackson),0,1,0,1
Arsi Ilari Harju,0,1,0,1
Arsne Claude Mnard,1,0,0,1
Arthur "Art" Barnard,1,0,0,1
Arthur Addison "Art" Studenroth,0,0,1,1
Arthur Barrington "Barry" Magee,1,0,0,1
Arthur Briggs "Art" Shaw,1,0,0,1
Arthur Charles Blake,0,0,1,1
Arthur Ernst Hoffmann,0,0,1,1
Arthur Espie Porritt,1,0,0,1
Arthur Harold "Art" Harnden,0,1,0,1
Arthur Russell,0,1,0,1
Arthur T. Clark,0,0,1,1
Arthur Tell Schwab,0,0,1,1
Arto Kalervo Bryggare,1,0,0,1
Arto Kalevi Hrknen,0,1,0,1
Artur Hjalmar Slve Svensson,0,0,1,1
Arvid Folke Alnevik (Andersson-),1,0,0,1
Arvo Askola,0,0,1,1
Asafa Kehine Powell,0,1,0,1
Asbel Kipruto Kiprop,0,1,0,1
Asha Solette Philip,1,0,0,1
Ashley Spencer,1,0,0,1
Asl akr (-Alptekin),0,1,0,1
Asnoldo Vicente Devonish Romero,1,0,0,1
Assa Djabir Sad-Guerni,1,0,0,1
Assefa Mezgebu,1,0,0,1
Asuka Antonio "Aska" Cambridge,0,0,1,1
Athanasia Tsoumeleka,0,1,0,1
Audrey "Mickey" Patterson (-Tyler),1,0,0,1
Audrey Doreen Swayne Williamson (-Mitchell),0,0,1,1
Audrey Kathleen Kilner Brown (-Court),0,0,1,1
Audun Boysen,1,0,0,1
August Georg "Gus" Desch,1,0,0,1
August Oliver "Gus" Fager (Fagerstrm-),0,0,1,1
Augustus Russell "Gus" Pope,1,0,0,1
Austra Skujyt,0,0,1,1
Axel Leander Lindahl,0,1,0,1
BAILEY Christopher,0,1,0,1
BARSHIM Mutaz Essa,1,0,0,1
BATTOCLETTI Nadia,0,0,1,1
BEDNAREK Kenneth,0,0,1,1
BELL Georgia,1,0,0,1
BLAKE Jerome,0,1,0,1
BOERS Isayah,0,1,0,1
BONFIM Caio,0,0,1,1
BROADBELL Rasheed,1,0,0,1
BROWN Aaron,0,1,0,1
BROWN Brittany,1,0,0,1
BURGHARDT Alexandra,1,0,0,1
BUTLER Aaliyah,0,1,0,1
Balzs Kiss,0,1,0,1
Barbara Hannah Anita Burke (-Knight),0,0,1,1
Barbara Krug,0,0,1,1
Barbara Lerczak-Janiszewska-Sobotta (-Nowicka),1,0,0,1
Basil Robert Bennett,1,0,0,1
Beate Koch,1,0,0,1
Beatrice Utondu (-Okoye),1,0,0,1
Benita P. Fitzgerald-Brown (-Mosley),0,1,0,1
Benjamin Bangs "Ben" Eastman,0,0,1,1
Benjamin Basil Heatley,0,0,1,1
Benjamin Gene "Benny" Brown,0,1,0,1
Benjamin Kipkurgat Arap Kogo,0,0,1,1
"Benjamin Van Doren ""Ben"" Hedges, Jr.",0,0,1,1
Benjamin Wabura "Ben" Jipcho,0,0,1,1
Bernard Laidebeur,1,0,0,1
Bernardo Segura Rivera,1,0,0,1
Bernd Cullmann,0,1,0,1
Bernd Gerhard Kannenberg,0,1,0,1
Bernhard Erich "Bernd" Herrmann,1,0,0,1
Bershawn D. Jackson,1,0,0,1
Bertha "Puck" Brouwer (-van Duyne),0,0,1,1
Bertil Gustaf Emanuel Ohlson,1,0,0,1
Bertil Gustafsson Uggla,1,0,0,1
Bertland "Bert" Cameron,0,0,1,1
Bertram Hector "Bert" Macdonald,0,0,1,1
Betty Heidler,1,0,0,1
Betty Lindsay McKinnon,0,0,1,1
Bianca Knight,0,1,0,1
Birut Kaldien (Zalogaityt-),1,0,0,1
Bjrn Andreas Paulson,0,0,1,1
Bjrn Otto,0,0,1,1
Bjrn Richard "Ricky" Bruch,1,0,0,1
Bla (Vojtech-) Szepes (Strauch-),0,0,1,1
Bla Goldovnyi,1,0,0,1
Blessing Okagbare (-Ighoteguonor),1,0,0,1
Bo Daniel Ekelund,1,0,0,1
Bo Henning Gustafsson,0,0,1,1
Bobby-Gaye Wilkins (-Gooden),1,0,0,1
Bodo Johannes Kuhn,1,0,0,1
Bodo Tmmler,1,0,0,1
Bohdan Viktorovych Bondarenko,1,0,0,1
Boniface Mucheru Tumuti,0,0,1,1
Boniface William Mutwol,1,0,0,1
Brahim Lahlafi,1,0,0,1
Brbel Struppert (Schrickel-),0,0,1,1
Brenda Jones (-Carr),0,0,1,1
Brendan Foster,1,0,0,1
Brendon Rodney,1,0,0,1
Brian Lee Diemer,1,0,0,1
Brian M. Lewis,0,1,0,1
Brianna Rollins,0,1,0,1
Brianne Theisen-Eaton,1,0,0,1
Brigetta LaShea Barrett,0,0,1,1
Brigita Bukovec,0,0,1,1
Brigitte Rohde (-Khn),0,1,0,1
"Brigitte Wujak (Knzel-, -Pretzschner)",0,0,1,1
Bror Ingemar Ture Johansson,0,0,1,1
Brunhilde Hendrix (-Ramsauer),0,0,1,1
Bruno Lins Tenrio de Barros,1,0,0,1
Bruno Marie-Rose,1,0,0,1
Bruny Surin,0,1,0,1
Brutus Kerr Hamilton,0,0,1,1
Bryshon Lorenzo Nellum,0,0,1,1
CAMACHO-QUINN Jasmine,1,0,0,1
CAMPBELL Rajindra,1,0,0,1
CARVELL Charlie,1,0,0,1
CHEMUTAI Peruth,0,0,1,1
CHEPTEGEI Joshua,0,1,0,1
CHEROTICH Faith,1,0,0,1
CHOPRA Neeraj,0,0,1,1
COCKRELL Anna,0,0,1,1
COWLEY Rhydian,1,0,0,1
CROUSER Ryan,0,1,0,1
Cai Zelin,0,0,1,1
Calvin B. Davis,1,0,0,1
Carl Albert Andersen,1,0,0,1
Carl Edward Johnson,0,0,1,1
Carl Gustaf Olof Wejnarth,0,0,1,1
Carl Josef Ternstrm,0,1,0,1
"Carl Oliver, Jr.",1,0,0,1
Carl-Ludwig Hermann "Luz" Long,0,0,1,1
Carla Bodendorf (Rietig-),0,1,0,1
Carlo Monti,1,0,0,1
Carlos Mercenario Carbajal,0,0,1,1
Carlton Chambers,0,1,0,1
Carmen Laura Valds Capote,1,0,0,1
"Carole Louise Quinton (-Barr, -Kibble-White)",0,0,1,1
Carolina Anna "Lien" Gisolf (-Verdam),0,0,1,1
Carolina Evelyn Klft,0,1,0,1
Catherine "Cathy" Hardy (-Lavender),0,1,0,1
Catherine Pomales-Scott (Blackwood-),0,0,1,1
Cecil Charles McMaster,1,0,0,1
Cecil Richmond Griffiths,0,1,0,1
"Celina Jesionowska (-Gerwin, -Orzechowska)",1,0,0,1
Charity Opara (-Asonze),0,0,1,1
Charles "Charlie" Simpkins,0,0,1,1
Charles "Charlie" Spedding,1,0,0,1
Charles Allen Austin,0,1,0,1
Charles Augustus Hefferon,0,0,1,1
Charles Edward "Charley" Borah,0,1,0,1
Charles Edward "Joe" Blewitt,0,0,1,1
Charles Edward Dvorak,0,1,0,1
Charles Edward James "Charlie" Gunn,1,0,0,1
Charles English McGinnis,1,0,0,1
Charles Everett "Charlie" Dumas,0,1,0,1
Charles Georg Lomberg,0,0,1,1
Charles Henry Stuart Gmelin,1,0,0,1
"Charles James Bacon, Jr.",0,1,0,1
Charles Lambert Redd,0,0,1,1
"Charles Lamont ""Chip"" Jenkins, Jr.",0,1,0,1
Charles Louis Lelong,0,0,1,1
Charles Michael Porter,0,0,1,1
Charmaine A. Crooks (-Thorsen),0,0,1,1
Charmaine L. Howell,0,0,1,1
Chen Ding,0,1,0,1
Chen Yueling,0,1,0,1
Cheryl Renee Toussaint (-Eason),0,0,1,1
Chi (-Reel) Cheng,1,0,0,1
Chioma Ajunwa (-Opara),0,1,0,1
Chrisann Gordon,0,0,1,1
Christania Williams,0,0,1,1
Christeana Cojocaru (-Matei),1,0,0,1
Christian Cantwell,0,0,1,1
Christian Schenk,0,1,0,1
"Christiane Krause (-Stallasch, -Todd)",0,1,0,1
Christiane Stoll-Wartenberg,0,0,1,1
Christina Heinich (-Schiffner),0,0,1,1
Christina Sussiek (-Echte),1,0,0,1
Christine Arron,1,0,0,1
Christine Bodner-Laser,0,0,1,1
Christine Wachtel (-Guth),0,0,1,1
Christoph Harting,0,1,0,1
Christoph Hhne,0,1,0,1
Christopher A. "Chris" Williams,0,0,1,1
Christopher Allen "Chris" Huffins,1,0,0,1
Christopher Vose,0,0,1,1
Christopher William "Chris" Brasher,0,1,0,1
Christopher William "Chris" Gitsham,0,0,1,1
Christy Opara-Thompson,1,0,0,1
Chukwudi "Chidi" Imoh,0,0,1,1
Clare Stephen Jacobs,1,0,0,1
Clarence Chester Childs,1,0,0,1
Clarence Darrow Hooper,0,0,1,1
Clarence H. Callender,0,0,1,1
Clarence Harrison DeMar,1,0,0,1
Clarence Winston Oldfield,0,0,1,1
"Claudia Hildegard Zaczkiewicz (Reidick-, -Reidick)",1,0,0,1
Claudia Losch,0,1,0,1
Claudinei Quirino da Silva,0,0,1,1
Claus Schiprowski,0,0,1,1
Clayton Murphy,1,0,0,1
Clement Chukwu,0,1,0,1
Clicien Alexandre Roger Bambuck,1,0,0,1
Clifford Frederick "Cliff" Bourland,0,1,0,1
Clifton Emmett "Cliff" Cushman,0,0,1,1
Clinton Rory Hill,0,0,1,1
Cludio Roberto de Sousa,0,0,1,1
Clyde Luther Scott,0,0,1,1
Coby Miller,0,0,1,1
Colette Besson (-Nogus),0,1,0,1
Colin Ray Jackson,0,0,1,1
Commodore Shelton "Com" Cochran,0,1,0,1
Conseslus Kipruto,0,1,0,1
Constantina Di-Tomescu,0,1,0,1
Cornelius Cooper "Corny" Johnson,0,1,0,1
Cornelius Edward "Con" Walsh,1,0,0,1
Courtney Okolo,0,1,0,1
Craig Kline Dixon,1,0,0,1
Crew Hadlett Stoneley,0,0,1,1
Cynthia "Janay" DeLoach (-Soukup),1,0,0,1
Cyril Henry Atwell Porter,1,0,0,1
Cyril Norman Seedhouse,1,0,0,1
Cyril William Gill,1,0,0,1
"Cyrus J. ""Cy"" Young, Jr.",0,1,0,1
DAVIS Tamari,0,1,0,1
DAVIS-WOODHALL Tara,0,1,0,1
DENNY Matthew,1,0,0,1
DIAZ FORTUN Jordan Alejandro,0,1,0,1
DIAZ HERNANDEZ Andy,1,0,0,1
DOBSON Charles,1,0,0,1
DUGUMA Tsige,0,0,1,1
DUPLANTIS Armand,0,1,0,1
Dafne Schippers,0,0,1,1
Dagmar Ksling (-Lhnenschlo),0,1,0,1
Dagmar Neubauer (Rbsam-),1,0,0,1
Dainis Kla,0,1,0,1
Dalilah Muhammad,0,1,0,1
Damian Warner,1,0,0,1
Dana Wright,0,0,1,1
Dane Alex Bird-Smith,1,0,0,1
Daniel "Dan" Frank,0,0,1,1
Daniel Bautista Rocha,0,1,0,1
Daniel Chapin "Dan" Kinsey,0,1,0,1
Daniel Dion "Dan" O'Brien,0,1,0,1
Daniel Jasinski,1,0,0,1
Daniel Joseph "Dan" Kelly,0,0,1,1
Daniel Lee "Danny" Harris,0,0,1,1
Daniel Matasi Rudisha,0,0,1,1
Daniel Plaza Montero,0,1,0,1
Daniel Ren Claude Sangouma,1,0,0,1
Daniel Roger Vlasquez,1,0,0,1
Daniela Costian,1,0,0,1
Daniil Sergeyevich Burkenya,1,0,0,1
Daphne Arden (-Slater),1,0,0,1
Daphne Lilian Evelyn Robb-Hasenjger,0,0,1,1
Darnell Kenneth Hall,0,1,0,1
Darold Andre Williamson,0,1,0,1
Darvis Darell Patton,0,0,1,1
Darya Vitalyevna Pishchalnikova,0,0,1,1
Daryll Saskia Neita,1,0,0,1
Davian Dessaline Clarke,1,0,0,1
David Alan "Dave" Johnson,1,0,0,1
David Allan Grindley,1,0,0,1
David Andrew Jenkins,0,0,1,1
David Charles "Dave" Ottley,0,0,1,1
David Connolly "Dave" Hall,1,0,0,1
David Curtiss Munson,0,1,0,1
David Donald "Dave" Albritton,0,0,1,1
David Francis Lean,0,0,1,1
David Henry Jacobs,0,1,0,1
David Henry Jones,1,0,0,1
David Hugh Segal,1,0,0,1
David James "Dave" Wottle,0,1,0,1
David Lawson "Dave" Weill,1,0,0,1
David Lee "Dave" Steen,1,0,0,1
David Lester "Dave" Laut,1,0,0,1
David Luther "Dave" Roberts,1,0,0,1
David Oliver,1,0,0,1
David Storl,0,0,1,1
David Thorild Olsson,0,0,1,1
David Thorn Payne,0,0,1,1
David Verburg,0,1,0,1
David William "Dave" Power,1,0,0,1
David William "Dave" Sime,0,0,1,1
Davidson Ezinwa,0,0,1,1
Davis Kamoga,1,0,0,1
Dayron Robles Planes,0,1,0,1
De GRASSE Andre,0,1,0,1
"Debora Elaine ""Debra"" Sapenter (-Speight, -Christopher)",0,0,1,1
Debra Lee "Debbie" Flintoff-King,0,1,0,1
Deena Michelle Drossin-Kastor,1,0,0,1
Dejen Gebremeskel,0,0,1,1
Deji Aliu,1,0,0,1
Delfo Cabrera Gmez,0,1,0,1
Delos Packard Thurber,1,0,0,1
Demetrius Rashad Pinder,0,1,0,1
Denia Caballero Ponce,1,0,0,1
Denis Horgan,0,0,1,1
Denis Viktorovich Kapustin,1,0,0,1
Dennis Anthony Blake,1,0,0,1
Denys Serhiyovych Yurchenko,1,0,0,1
Deon Christopher Lendore,1,0,0,1
Derek Bruce Mills,0,1,0,1
Derrick Ralph Adkins,0,1,0,1
Desai Williams,1,0,0,1
Desiree Latifah N. Henry,1,0,0,1
Desmond Dalworth "Des" Koch,1,0,0,1
Devon Morris,0,0,1,1
Diamond Brittany Dixon,0,1,0,1
Diana Gansky (Sachse-),0,0,1,1
Diana Khristova Yorgova (-Prodanova),0,0,1,1
Dieter Lindner,0,0,1,1
Dietmar Mgenburg,0,1,0,1
Dilshod Nazarov,0,1,0,1
Dimitri David Bascou,1,0,0,1
Dimitrios P. Golemis,1,0,0,1
Dmitry Vasilyevich Karpov,1,0,0,1
Donald George "Don" Bragg,0,1,0,1
Donald James "Don" Thompson,0,1,0,1
Donald Robert "Don" Laz,0,0,1,1
Donald Stacey "Don" Linden,0,0,1,1
Dong Bin,1,0,0,1
Donna-Marie Louise Murray-Hartley (-Wass),1,0,0,1
Doris Maletzki (-Brachmann-),0,1,0,1
Dorothy Ada Shirley (-Emerson),0,0,1,1
Dorothy Elizabeth Anne "Dot" Brookshaw (-Marr),1,0,0,1
"Dorothy Gladys Manley (-Hall, -Parlett)",0,0,1,1
Dorothy Louise Ritter,0,1,0,1
Douglas Alistair Gordon Pirie,0,0,1,1
Douglas Wakiihuri Maina,0,0,1,1
Duncan Anderson McNaughton,0,1,0,1
Duncan Gillis,0,0,1,1
