Name,Bronze,Gold,Silver,Total
George Valentine Bonhag,0,2,1,3
Gergely Kulcsr,2,0,1,3
Getenesh "Gete" Wami Degife,2,0,1,3
Glenn Ashby Davis,0,3,0,3
Gregory "Greg" Haughton,2,0,1,3
Gunhild Hoffmeister,1,0,2,3
Gyula Zsivtzky,0,1,2,3
HASSAN Sifan,2,1,0,3
Heidemarie "Heide" Rosendahl (-Ecker),0,2,1,3
Heikki Liimatainen,1,2,0,3
Helmut Krnig,1,0,2,3
Henry Norwood "Barney" Ewell,0,1,2,3
Hicham El Guerrouj,0,2,1,3
Ingrid Auerswald-Lange (Brestrich-),1,1,1,3
Jackson Volney Scholz,0,2,1,3
James Allan "Jimmy" Ball,2,0,1,3
Jan Niklas Patrik Sjberg,1,0,2,3
Jearl Atawa Miles-Clark,0,2,1,3
Jnis Lsis,1,1,1,3
Johan Frithiof Isidor "John" Svanberg (-Swanberg),1,0,2,3
Johannes "Hanns" Braun,1,0,2,3
John Arthur Ljunggren,1,1,1,3
Juliet Jean Cuthbert,1,0,2,3
Kathryn Jane "Kathy" Smallwood-Cook,3,0,0,3
Kelly Holmes,1,2,0,3
Kerron Stephon Clement,0,2,1,3
Kerron Stewart,1,0,2,3
Kriss Kezie Uche Chukwu Duru Akabusi,2,0,1,3
Lawson Robertson,2,0,1,3
Lemuel Clarence "Bud" Houser,0,3,0,3
Lia Manoliu (-Raica),2,1,0,3
Linford Ecerio Christie,0,1,2,3
Ludvk Dank,1,1,1,3
Lyudmila Ilyinichna Zharkova-Maslakova,2,0,1,3
Mahiedine Mekhissi-Benabbad,1,0,2,3
Mamo Wolde,1,1,1,3
Marie-Jos Juliana Prec (Hontas-),0,3,0,3
"Mary Denise Bignal-Rand (-Toomey, -Reese)",1,1,1,3
Matthew John "Matt" McGrath,0,1,2,3
Maurizio Damilano,2,1,0,3
Meseret Defar Tola,1,2,0,3
Michael Lawrence "Mike" Marsh,0,2,1,3
Michael Walter Mathieu,1,1,1,3
Micheline O. M. Ostermeyer (-Ghazarian),1,2,0,3
"Mildred Ella ""Babe"" Didrikson (Didriksen-, -Zaharias)",0,2,1,3
Miruts Yifter,1,2,0,3
Nadezhda Vladimirovna Chizhova,1,1,1,3
Nataliya Viktorovna Nazarova,1,0,2,3
Nina Apollonovna Romashkova-Ponomaryova,1,2,0,3
Olga Vladimirovna Nazarova,1,2,0,3
Oskar Albinus "Albin" Stenroos,1,1,1,3
Patrick Joseph "Pat" McDonald (McDonnell-),0,2,1,3
Paul Henry Pilgrim,0,3,0,3
Pauline Elaine Davis-Thompson,0,2,1,3
Peter George Snell,0,3,0,3
Pietro Paolo Mennea,2,1,0,3
Raelene Ann Boyle,0,0,3,3
Ralph Harold Boston,1,1,1,3
Richard Thompson,0,1,2,3
Robert Eugene "Bob" Richards,1,2,0,3
