NOC,Year,Gold_Medal_Count,Silver_Medal_Count,Bronze_Medal_Count,Medal_Count
MLT,1988,0,0,0,6
MLT,1992,0,0,0,8
MLT,1996,0,0,0,10
MLT,2000,0,0,0,7
MLT,2004,0,0,0,7
MLT,2008,0,0,0,6
MLT,2012,0,0,0,5
MLT,2016,0,0,0,8
MNE,2008,0,0,0,20
MNE,2012,0,14,0,34
MNE,2016,0,0,0,35
MON,1920,0,0,0,7
MON,1924,0,0,1,9
MON,1928,0,0,0,12
MON,1932,0,0,0,1
MON,1936,0,0,0,11
MON,1948,0,0,0,4
MON,1952,0,0,0,10
MON,1960,0,0,0,13
MON,1964,0,0,0,1
MON,1968,0,0,0,2
MON,1972,0,0,0,5
MON,1976,0,0,0,10
MON,1984,0,0,0,8
MON,1988,0,0,0,9
MON,1992,0,0,0,4
MON,1996,0,0,0,4
MON,2000,0,0,0,4
MON,2004,0,0,0,3
MON,2008,0,0,0,5
MON,2012,0,0,0,6
MON,2016,0,0,0,8
MOZ,1980,0,0,0,16
MOZ,1984,0,0,0,14
MOZ,1988,0,0,0,12
MOZ,1992,0,0,0,7
MOZ,1996,0,0,1,3
MOZ,2000,1,0,0,4
MOZ,2004,0,0,0,4
MOZ,2008,0,0,0,4
MOZ,2012,0,0,0,6
MOZ,2016,0,0,0,8
MRI,1984,0,0,0,7
MRI,1988,0,0,0,11
MRI,1992,0,0,0,22
MRI,1996,0,0,0,36
MRI,2000,0,0,0,26
MRI,2004,0,0,0,9
MRI,2008,0,0,1,11
MRI,2012,0,0,0,11
MRI,2016,0,0,0,11
MTN,1984,0,0,0,2
MTN,1988,0,0,0,7
MTN,1992,0,0,0,6
MTN,1996,0,0,0,4
MTN,2000,0,0,0,2
MTN,2004,0,0,0,2
MTN,2008,0,0,0,2
MTN,2012,0,0,0,2
MTN,2016,0,0,0,2
MYA,1948,0,0,0,5
MYA,1952,0,0,0,5
MYA,1956,0,0,0,12
MYA,1960,0,0,0,10
MYA,1964,0,0,0,12
MYA,1968,0,0,0,4
MYA,1972,0,0,0,19
MYA,1980,0,0,0,2
MYA,1984,0,0,0,1
MYA,1988,0,0,0,3
MYA,1992,0,0,0,5
MYA,1996,0,0,0,3
MYA,2000,0,0,0,7
MYA,2004,0,0,0,2
MYA,2008,0,0,0,7
MYA,2012,0,0,0,6
MYA,2016,0,0,0,8
NAM,1992,0,2,0,10
NAM,1996,0,2,0,10
NAM,2000,0,0,0,16
NAM,2004,0,0,0,10
NAM,2008,0,0,0,11
NAM,2012,0,0,0,9
NAM,2016,0,0,0,11
NBO,1956,0,0,0,2
NCA,1968,0,0,0,16
NCA,1972,0,0,0,10
NCA,1976,0,0,0,25
NCA,1980,0,0,0,6
NCA,1984,0,0,0,5
NCA,1992,0,0,0,9
NCA,1996,0,0,0,28
NCA,2000,0,0,0,6
NCA,2004,0,0,0,6
NCA,2008,0,0,0,7
NCA,2012,0,0,0,6
NCA,2016,0,0,0,5
NED,1900,3,8,16,73
NED,1906,0,1,5,49
NED,1908,0,0,16,218
NED,1912,0,0,26,45
NED,1920,15,10,25,213
NED,1924,8,1,18,246
NED,1928,20,29,8,384
NED,1932,2,10,1,80
NED,1936,9,7,21,227
NED,1948,8,2,32,187
NED,1952,0,18,0,180
NED,1956,0,0,0,1
NED,1960,0,1,2,160
NED,1964,5,10,16,158
NED,1968,6,7,1,140
NED,1972,3,1,2,199
NED,1976,0,2,12,175
NED,1980,0,1,5,112
NED,1984,20,7,14,185
NED,1988,3,6,36,202
NED,1992,5,20,8,257
NED,1996,38,9,26,290
NED,2000,27,29,23,285
NED,2004,4,51,22,264
NED,2008,39,18,4,283
NED,2012,21,29,19,222
NED,2016,9,25,13,329
NEP,1964,0,0,0,6
NEP,1972,0,0,0,2
NEP,1976,0,0,0,1
NEP,1980,0,0,0,10
NEP,1984,0,0,0,10
NEP,1988,0,0,0,20
NEP,1992,0,0,0,2
NEP,1996,0,0,0,6
NEP,2000,0,0,0,5
NEP,2004,0,0,0,6
NEP,2008,0,0,0,8
NEP,2012,0,0,0,5
NEP,2016,0,0,0,7
NFL,1904,0,0,0,1
NGR,1952,0,0,0,15
NGR,1956,0,0,0,14
NGR,1960,0,0,0,15
NGR,1964,0,0,1,19
NGR,1968,0,0,0,46
NGR,1972,0,0,1,36
NGR,1980,0,0,0,56
NGR,1984,0,1,4,36
NGR,1988,0,0,0,86
NGR,1992,0,7,4,72
NGR,1996,17,4,3,84
NGR,2000,6,2,0,100
NGR,2004,0,0,8,79
NGR,2008,0,16,7,89
NGR,2012,0,0,0,58
NGR,2016,0,0,18,77
NIG,1964,0,0,0,1
NIG,1968,0,0,0,2
NIG,1972,0,0,1,4
NIG,1984,0,0,0,4
NIG,1988,0,0,0,6
NIG,1992,0,0,0,3
NIG,1996,0,0,0,3
NIG,2000,0,0,0,4
NIG,2004,0,0,0,4
NIG,2008,0,0,0,4
NIG,2012,0,0,0,6
NIG,2016,0,1,0,6
NOR,1900,0,6,3,29
NOR,1904,2,0,0,6
NOR,1906,20,5,0,55
NOR,1908,7,32,3,103
NOR,1912,40,6,34,263
NOR,1920,58,52,27,267
NOR,1924,14,5,3,105
NOR,1928,4,4,1,79
NOR,1932,0,0,0,8
NOR,1936,1,12,15,84
NOR,1948,3,4,11,97
NOR,1952,5,8,0,190
NOR,1956,1,0,2,29
NOR,1960,2,0,0,50
NOR,1964,0,0,0,43
NOR,1968,4,2,0,86
NOR,1972,2,2,4,161
NOR,1976,2,4,0,79
NOR,1984,0,1,3,132
NOR,1988,2,20,0,79
NOR,1992,2,20,1,114
NOR,1996,2,3,18,116
NOR,2000,20,4,19,115
NOR,2004,5,0,2,60
NOR,2008,16,5,1,102
NOR,2012,15,1,1,69
NOR,2016,0,0,19,77
NRU,1996,0,0,0,3
NRU,2000,0,0,0,2
NRU,2004,0,0,0,3
NRU,2008,0,0,0,1
NRU,2012,0,0,0,2
NRU,2016,0,0,0,2
NZL,1900,1,0,0,1
NZL,1920,0,0,1,6
NZL,1924,0,0,1,6
NZL,1928,1,0,0,13
NZL,1932,0,2,0,29
NZL,1936,1,0,0,9
NZL,1948,0,0,0,8
NZL,1952,1,0,2,20
NZL,1956,3,0,0,57
NZL,1960,2,0,1,47
NZL,1964,4,0,2,88
NZL,1968,5,0,2,65
NZL,1972,9,4,1,112
NZL,1976,15,1,9,98
NZL,1980,0,0,0,7
NZL,1984,16,1,6,162
NZL,1988,4,4,16,112
NZL,1992,1,9,5,175
NZL,1996,3,2,4,129
NZL,2000,1,0,3,177
NZL,2004,4,2,0,184
NZL,2008,4,2,9,201
NZL,2012,9,3,15,204
NZL,2016,6,25,5,232
OMA,1984,0,0,0,22
OMA,1988,0,0,0,13
OMA,1992,0,0,0,5
OMA,1996,0,0,0,5
OMA,2000,0,0,0,8
OMA,2004,0,0,0,2
OMA,2008,0,0,0,4
OMA,2012,0,0,0,3
OMA,2016,0,0,0,4
PAK,1948,0,0,0,44
PAK,1952,0,0,0,51
PAK,1956,0,14,0,79
PAK,1960,13,0,1,53
PAK,1964,0,16,0,47
PAK,1968,13,0,0,15
PAK,1972,0,15,0,26
PAK,1976,0,0,16,24
PAK,1984,16,0,0,33
PAK,1988,0,0,1,33
PAK,1992,0,0,16,28
PAK,1996,0,0,0,24
PAK,2000,0,0,0,27
PAK,2004,0,0,0,26
PAK,2008,0,0,0,22
PAK,2012,0,0,0,21
PAK,2016,0,0,0,7
PAN,1928,0,0,0,2
PAN,1948,0,0,2,2
PAN,1952,0,0,0,1
PAN,1960,0,0,0,8
PAN,1964,0,0,0,15
PAN,1968,0,0,0,16
PAN,1972,0,0,0,8
PAN,1976,0,0,0,13
PAN,1984,0,0,0,10
PAN,1988,0,0,0,9
PAN,1992,0,0,0,7
PAN,1996,0,0,0,9
PAN,2000,0,0,0,7
PAN,2004,0,0,0,5
PAN,2008,1,0,0,5
PAN,2012,0,0,0,8
PAN,2016,0,0,0,14
PAR,1968,0,0,0,1
PAR,1972,0,0,0,3
PAR,1976,0,0,0,6
PAR,1984,0,0,0,18
PAR,1988,0,0,0,13
PAR,1992,0,0,0,31
PAR,1996,0,0,0,7
PAR,2000,0,0,0,5
PAR,2004,0,17,0,22
PAR,2008,0,0,0,7
PAR,2012,0,0,0,10
PAR,2016,0,0,0,11
PER,1900,0,0,0,2
PER,1932,0,0,0,3
PER,1936,0,0,0,46
PER,1948,1,0,0,49
PER,1956,0,0,0,10
PER,1960,0,0,0,33
PER,1964,0,0,0,40
PER,1968,0,0,0,33
PER,1972,0,0,0,31
PER,1976,0,0,0,14
PER,1980,0,0,0,38
PER,1984,0,1,0,44
PER,1988,0,12,0,26
PER,1992,0,1,0,21
PER,1996,0,0,0,33
PER,2000,0,0,0,22
PER,2004,0,0,0,14
PER,2008,0,0,0,13
PER,2012,0,0,0,16
PER,2016,0,0,0,34
PHI,1924,0,0,0,2
PHI,1928,0,0,1,6
PHI,1932,0,0,3,8
PHI,1936,0,0,1,40
PHI,1948,0,0,0,31
PHI,1952,0,0,0,28
PHI,1956,0,0,0,48
PHI,1960,0,0,0,49
PHI,1964,0,1,0,70
PHI,1968,0,0,0,89
PHI,1972,0,0,0,79
PHI,1976,0,0,0,22
PHI,1984,0,0,0,32
PHI,1988,0,0,1,42
PHI,1992,0,0,1,38
PHI,1996,0,1,0,18
PHI,2000,0,0,0,22
PHI,2004,0,0,0,21
PHI,2008,0,0,0,17
PHI,2012,0,0,0,11
PHI,2016,0,1,0,13
PLE,1996,0,0,0,1
PLE,2000,0,0,0,2
PLE,2004,0,0,0,3
PLE,2008,0,0,0,4
PLE,2012,0,0,0,5
PLE,2016,0,0,0,6
PLW,2000,0,0,0,5
PLW,2004,0,0,0,4
PLW,2008,0,0,0,5
PLW,2012,0,0,0,5
PLW,2016,0,0,0,6
PNG,1976,0,0,0,9
PNG,1984,0,0,0,12
PNG,1988,0,0,0,15
PNG,1992,0,0,0,19
PNG,1996,0,0,0,17
PNG,2000,0,0,0,5
PNG,2004,0,0,0,6
PNG,2008,0,0,0,9
PNG,2012,0,0,0,8
PNG,2016,0,0,0,8
POL,1912,0,0,0,1
POL,1924,0,4,1,100
POL,1928,2,3,15,146
POL,1932,3,4,14,71
POL,1936,0,6,6,177
POL,1948,1,0,1,52
POL,1952,1,2,1,248
POL,1956,1,9,9,118
POL,1960,4,11,15,307
POL,1964,10,13,23,240
POL,1968,5,2,30,296
POL,1972,27,8,11,418
POL,1976,18,29,26,286
POL,1980,3,25,22,418
POL,1988,2,9,10,192
POL,1992,5,22,19,263
POL,1996,7,8,7,207
POL,2000,7,10,7,240
POL,2004,4,2,6,224
POL,2008,6,13,1,316
POL,2012,2,2,8,256
POL,2016,3,3,10,289
POR,1912,0,0,0,8
POR,1920,0,0,0,40
POR,1924,0,0,4,47
POR,1928,0,0,6,39
POR,1932,0,0,0,8
POR,1936,0,0,3,26
POR,1948,0,2,3,65
POR,1952,0,0,2,155
POR,1956,0,0,0,18
POR,1960,0,2,0,109
POR,1964,0,0,0,25
POR,1968,0,0,0,33
POR,1972,0,0,0,41
POR,1976,0,2,0,36
POR,1980,0,0,0,18
POR,1984,1,0,2,48
POR,1988,1,0,0,91
POR,1992,0,0,0,115
POR,1996,1,0,2,131
POR,2000,0,0,2,64
POR,2004,0,2,1,93
POR,2008,1,1,0,87
POR,2012,0,2,0,98
POR,2016,0,0,1,106
PRK,1972,1,1,13,83
PRK,1976,1,1,0,40
PRK,1980,0,3,2,121
PRK,1992,4,0,6,123
PRK,1996,2,1,2,36
PRK,2000,0,1,3,47
PRK,2004,0,4,1,71
PRK,2008,2,1,3,66
PRK,2012,4,0,2,57
PRK,2016,2,3,2,38
PUR,1948,0,0,1,9
PUR,1952,0,0,0,23
PUR,1956,0,0,0,14
PUR,1960,0,0,0,29
PUR,1964,0,0,0,45
PUR,1968,0,0,0,99
PUR,1972,0,0,0,60
PUR,1976,0,0,1,112
PUR,1980,0,0,0,3
PUR,1984,0,1,1,58
PUR,1988,0,0,0,56
PUR,1992,0,0,1,101
PUR,1996,0,0,1,91
PUR,2000,0,0,0,38
PUR,2004,0,0,0,52
PUR,2008,0,0,0,31
PUR,2012,0,1,1,28
PUR,2016,1,0,0,41
QAT,1984,0,0,0,26
QAT,1988,0,0,0,13
QAT,1992,0,0,1,30
QAT,1996,0,0,0,13
QAT,2000,0,0,1,19
QAT,2004,0,0,0,15
QAT,2008,0,0,0,20
QAT,2012,0,0,2,14
QAT,2016,0,1,0,42
RHO,1960,0,0,0,12
ROT,2016,0,0,0,12
ROU,1900,0,0,0,1
ROU,1924,0,0,16,45
ROU,1928,0,0,0,33
ROU,1932,0,0,0,2
ROU,1936,0,1,0,118
ROU,1952,1,1,2,241
ROU,1956,6,3,10,103
ROU,1960,3,1,11,156
ROU,1964,2,4,10,232
ROU,1968,5,9,9,100
ROU,1972,3,10,27,258
ROU,1976,4,28,23,255
ROU,1980,7,15,46,339
ROU,1984,40,31,35,193
ROU,1988,8,34,16,172
ROU,1992,8,31,14,306
ROU,1996,13,10,15,284
ROU,2000,27,6,13,252
ROU,2004,23,5,11,193
ROU,2008,5,1,16,172
ROU,2012,2,8,6,155
ROU,2016,4,2,10,121
RSA,1904,0,0,0,8
RSA,1908,1,1,0,33
RSA,1912,5,2,0,56
RSA,1920,3,12,6,97
RSA,1924,1,1,1,44
RSA,1928,1,0,5,40
RSA,1932,2,0,3,20
RSA,1936,0,1,0,54
RSA,1948,2,2,2,43
RSA,1952,2,8,4,109
RSA,1956,0,0,7,90
RSA,1960,0,1,2,72
RSA,1992,0,3,0,141
RSA,1996,3,1,1,111
RSA,2000,0,2,3,161
RSA,2004,4,3,3,128
RSA,2008,0,1,0,179
RSA,2012,6,2,1,145
RSA,2016,2,7,14,155
RUS,1900,0,0,0,5
RUS,1908,1,2,0,7
RUS,1912,0,5,9,266
RUS,1924,0,0,0,3
RUS,1996,36,45,34,552
RUS,2000,66,67,54,602
RUS,2004,48,46,95,593
RUS,2008,43,46,53,600
RUS,2012,50,39,51,549
RUS,2016,52,28,35,406
RWA,1984,0,0,0,6
RWA,1988,0,0,0,8
RWA,1992,0,0,0,10
RWA,1996,0,0,0,4
RWA,2000,0,0,0,5
RWA,2004,0,0,0,5
RWA,2008,0,0,0,4
RWA,2012,0,0,0,7
RWA,2016,0,0,0,7
SAA,1952,0,0,0,93
SAM,1984,0,0,0,9
SAM,1988,0,0,0,11
SAM,1992,0,0,0,5
SAM,1996,0,0,0,5
SAM,2000,0,0,0,5
SAM,2004,0,0,0,3
SAM,2008,0,0,0,7
SAM,2012,0,0,0,9
SAM,2016,0,0,0,9
SCG,1996,1,12,13,79
SCG,2000,11,1,13,125
SCG,2004,0,13,0,96
SEN,1964,0,0,0,14
SEN,1968,0,0,0,24
SEN,1972,0,0,0,40
SEN,1976,0,0,0,33
SEN,1980,0,0,0,39
SEN,1984,0,0,0,29
SEN,1988,0,1,0,35
SEN,1992,0,0,0,25
SEN,1996,0,0,0,12
SEN,2000,0,0,0,32
SEN,2004,0,0,0,21
SEN,2008,0,0,0,17
SEN,2012,0,0,0,32
SEN,2016,0,0,0,22
SEY,1980,0,0,0,21
SEY,1984,0,0,0,15
SEY,1992,0,0,0,21
SEY,1996,0,0,0,9
SEY,2000,0,0,0,9
SEY,2004,0,0,0,10
SEY,2008,0,0,0,10
SEY,2012,0,0,0,6
SEY,2016,0,0,0,10
SGP,1948,0,0,0,1
SGP,1952,0,0,0,7
SGP,1956,0,0,0,52
SGP,1960,0,1,0,5
SGP,1968,0,0,0,6
SGP,1972,0,0,0,12
SGP,1976,0,0,0,4
SGP,1984,0,0,0,14
SGP,1988,0,0,0,27
SGP,1992,0,0,0,37
SGP,1996,0,0,0,35
SGP,2000,0,0,0,23
SGP,2004,0,0,0,22
SGP,2008,0,3,0,36
SGP,2012,0,0,4,36
SGP,2016,1,0,0,32
SKN,1996,0,0,0,14
SKN,2000,0,0,0,4
SKN,2004,0,0,0,2
SKN,2008,0,0,0,6
SKN,2012,0,0,0,7
SKN,2016,0,0,0,9
SLE,1968,0,0,0,4
SLE,1980,0,0,0,32
SLE,1984,0,0,0,10
SLE,1988,0,0,0,20
SLE,1992,0,0,0,15
SLE,1996,0,0,0,19
SLE,2000,0,0,0,3
SLE,2004,0,0,0,2
SLE,2008,0,0,0,3
SLE,2012,0,0,0,2
SLE,2016,0,0,0,4
SLO,1992,0,0,6,47
SLO,1996,0,2,0,47
SLO,2000,3,0,0,90
SLO,2004,0,2,3,102
SLO,2008,1,2,2,73
SLO,2012,1,1,3,78
SLO,2016,1,2,1,70
SMR,1960,0,0,0,13
SMR,1968,0,0,0,4
SMR,1972,0,0,0,7
SMR,1976,0,0,0,10
SMR,1980,0,0,0,16
SMR,1984,0,0,0,31
SMR,1988,0,0,0,15
SMR,1992,0,0,0,20
SMR,1996,0,0,0,7
SMR,2000,0,0,0,4
SMR,2004,0,0,0,5
SMR,2008,0,0,0,4
SMR,2012,0,0,0,4
SMR,2016,0,0,0,4
SOL,1984,0,0,0,3
SOL,1988,0,0,0,5
SOL,1992,0,0,0,1
SOL,1996,0,0,0,4
SOL,2000,0,0,0,2
SOL,2004,0,0,0,2
SOL,2008,0,0,0,3
SOL,2012,0,0,0,4
SOL,2016,0,0,0,3
SOM,1972,0,0,0,4
SOM,1984,0,0,0,9
SOM,1988,0,0,0,5
SOM,1996,0,0,0,4
SOM,2000,0,0,0,2
SOM,2004,0,0,0,2
SOM,2008,0,0,0,2
SOM,2012,0,0,0,2
SOM,2016,0,0,0,2
SRB,1912,0,0,0,2
SRB,2008,0,1,14,97
SRB,2012,1,1,14,134
SRB,2016,14,27,13,127
SRI,1948,0,1,0,10
SRI,1952,0,0,0,7
SRI,1956,0,0,0,3
SRI,1960,0,0,0,5
SRI,1964,0,0,0,7
SRI,1968,0,0,0,3
SRI,1972,0,0,0,6
SRI,1980,0,0,0,4
SRI,1984,0,0,0,6
SRI,1988,0,0,0,9
SRI,1992,0,0,0,16
SRI,1996,0,0,0,11
SRI,2000,0,1,0,24
SRI,2004,0,0,0,8
SRI,2008,0,0,0,9
SRI,2012,0,0,0,8
SRI,2016,0,0,0,10
SSD,2016,0,0,0,3
STP,1996,0,0,0,2
STP,2000,0,0,0,2
STP,2004,0,0,0,2
STP,2008,0,0,0,4
STP,2012,0,0,0,2
STP,2016,0,0,0,3
SUD,1960,0,0,0,13
SUD,1968,0,0,0,7
SUD,1972,0,0,0,31
SUD,1984,0,0,0,9
SUD,1988,0,0,0,8
SUD,1992,0,0,0,7
SUD,1996,0,0,0,4
SUD,2000,0,0,0,3
SUD,2004,0,0,0,4
SUD,2008,0,1,0,9
SUD,2012,0,0,0,6
SUD,2016,0,0,0,6
SUI,1896,1,2,0,8
SUI,1900,16,4,1,52
SUI,1904,1,0,2,7
SUI,1906,8,3,1,45
SUI,1908,0,0,0,1
SUI,1912,2,0,0,7
SUI,1920,6,2,21,126
SUI,1924,14,25,21,262
SUI,1928,16,10,4,236
SUI,1932,0,1,0,9
SUI,1936,5,23,24,328
SUI,1948,5,25,6,287
SUI,1952,2,19,12,251
SUI,1956,0,0,3,18
SUI,1960,0,6,6,221
SUI,1964,1,4,1,129
SUI,1968,0,3,10,155
SUI,1972,0,8,0,265
SUI,1976,1,3,6,101
SUI,1980,2,0,0,86
SUI,1984,0,9,4,245
SUI,1988,0,6,2,151
SUI,1992,1,0,0,171
SUI,1996,5,6,0,172
SUI,2000,1,11,2,138
SUI,2004,1,2,4,138
SUI,2008,3,1,7,116
SUI,2012,2,2,0,126
SUI,2016,6,3,2,152
SUR,1968,0,0,0,1
SUR,1972,0,0,0,3
SUR,1976,0,0,0,4
SUR,1984,0,0,0,7
SUR,1988,1,0,0,10
SUR,1992,0,0,1,9
SUR,1996,0,0,0,11
SUR,2000,0,0,0,5
SUR,2004,0,0,0,4
SUR,2008,0,0,0,4
SUR,2012,0,0,0,5
SUR,2016,0,0,0,6
SVK,1996,1,1,1,98
SVK,2000,2,3,1,132
SVK,2004,3,2,5,84
SVK,2008,4,5,1,67
SVK,2012,0,1,4,65
SVK,2016,3,5,0,63
SWE,1896,0,0,0,5
SWE,1900,3,0,1,27
SWE,1906,2,5,14,95
SWE,1908,48,18,18,276
SWE,1912,103,62,25,714
SWE,1920,52,38,64,404
SWE,1924,7,22,43,256
SWE,1928,7,8,22,139
SWE,1932,13,7,12,128
SWE,1936,7,11,17,231
SWE,1948,30,15,30,223
SWE,1952,23,24,23,355
SWE,1956,14,14,6,186
SWE,1960,2,2,3,258
SWE,1964,3,4,8,175
SWE,1968,4,4,1,186
SWE,1972,4,10,8,186
SWE,1976,9,1,0,163
SWE,1980,3,8,9,201
SWE,1984,3,18,13,254
SWE,1988,0,5,11,251
SWE,1992,1,27,7,252
SWE,1996,3,23,5,233
SWE,2000,4,20,8,198
SWE,2004,5,5,2,157
SWE,2008,0,5,2,169
SWE,2012,2,17,3,168
SWE,2016,2,23,3,186
SWZ,1972,0,0,0,4
SWZ,1984,0,0,0,11
SWZ,1988,0,0,0,15
SWZ,1992,0,0,0,10
SWZ,1996,0,0,0,6
SWZ,2000,0,0,0,6
SWZ,2004,0,0,0,3
SWZ,2008,0,0,0,4
SWZ,2012,0,0,0,3
SWZ,2016,0,0,0,2
SYR,1948,0,0,0,1
SYR,1968,0,0,0,2
SYR,1972,0,0,0,5
SYR,1980,0,0,0,71
SYR,1984,0,1,0,9
SYR,1988,0,0,0,13
SYR,1992,0,0,0,9
SYR,1996,1,0,0,8
SYR,2000,0,0,0,8
SYR,2004,0,0,1,6
SYR,2008,0,0,0,7
SYR,2012,0,0,0,10
SYR,2016,0,0,0,7
TAN,1964,0,0,0,4
TAN,1968,0,0,0,5
TAN,1972,0,0,0,22
TAN,1980,0,2,0,48
TAN,1984,0,0,0,21
TAN,1988,0,0,0,10
TAN,1992,0,0,0,9
TAN,1996,0,0,0,7
TAN,2000,0,0,0,4
TAN,2004,0,0,0,9
TAN,2008,0,0,0,9
TAN,2012,0,0,0,6
TAN,2016,0,0,0,7
TCH,1920,0,0,10,182
TCH,1924,1,4,5,242
TCH,1928,2,12,2,147
TCH,1932,1,3,2,44
TCH,1936,5,12,1,293
TCH,1948,14,3,3,153
TCH,1952,11,4,10,218
TCH,1956,1,5,1,161
TCH,1960,4,7,11,202
TCH,1964,5,37,12,187
TCH,1968,7,7,15,203
TCH,1972,2,21,6,274
TCH,1976,2,4,9,251
TCH,1980,17,18,16,317
TCH,1988,3,4,3,226
TCH,1992,4,3,1,269
TGA,1984,0,0,0,7
TGA,1988,0,0,0,7
TGA,1992,0,0,0,5
TGA,1996,0,1,0,5
TGA,2000,0,0,0,3
TGA,2004,0,0,0,5
TGA,2008,0,0,0,3
TGA,2012,0,0,0,3
TGA,2016,0,0,0,7
THA,1952,0,0,0,15
THA,1956,0,0,0,40
THA,1960,0,0,0,24
THA,1964,0,0,0,67
THA,1968,0,0,0,46
THA,1972,0,0,0,37
THA,1976,0,0,1,62
THA,1984,0,1,0,40
THA,1988,0,0,1,15
THA,1992,0,0,1,64
THA,1996,1,0,1,58
THA,2000,1,0,2,68
THA,2004,3,1,4,51
THA,2008,2,2,0,53
THA,2012,0,2,1,43
THA,2016,2,2,2,58
TJK,1996,0,0,0,8
TJK,2000,0,0,0,4
TJK,2004,0,0,0,9
TJK,2008,0,1,1,16
TJK,2012,0,0,1,16
TJK,2016,1,0,0,7
TKM,1996,0,0,0,7
TKM,2000,0,0,0,8
TKM,2004,0,0,0,10
TKM,2008,0,0,0,10
TKM,2012,0,0,0,10
TKM,2016,0,0,0,9
TLS,2004,0,0,0,2
TLS,2008,0,0,0,1
TLS,2012,0,0,0,2
TLS,2016,0,0,0,3
TOG,1972,0,0,0,7
TOG,1984,0,0,0,6
TOG,1988,0,0,0,6
TOG,1992,0,0,0,9
TOG,1996,0,0,0,7
TOG,2000,0,0,0,3
TOG,2004,0,0,0,3
TOG,2008,0,0,1,4
TOG,2012,0,0,0,6
TOG,2016,0,0,0,5
TPE,1956,0,0,0,23
TPE,1960,0,1,0,31
TPE,1964,0,0,0,96
TPE,1968,0,0,1,93
TPE,1972,0,0,0,44
TPE,1984,0,0,1,52
TPE,1988,0,0,0,123
TPE,1992,0,20,0,38
TPE,1996,0,1,0,107
TPE,2000,0,1,4,75
TPE,2004,2,4,3,104
TPE,2008,0,0,4,92
TPE,2012,0,1,1,55
TPE,2016,1,0,4,67
TTO,1948,0,1,0,9
TTO,1952,0,0,2,2
TTO,1956,0,0,0,10
TTO,1964,0,1,5,18
TTO,1968,0,0,0,25
TTO,1972,0,0,0,36
TTO,1976,1,0,0,20
TTO,1980,0,0,0,15
TTO,1984,0,0,0,23
TTO,1988,0,0,0,10
TTO,1992,0,0,0,13
TTO,1996,0,0,2,16
TTO,2000,0,1,1,29
TTO,2004,0,0,1,26
TTO,2008,5,1,0,35
TTO,2012,1,4,5,38
TTO,2016,0,0,1,43
TUN,1960,0,0,0,56
TUN,1964,0,1,1,12
TUN,1968,1,0,1,8
TUN,1972,0,1,0,37
TUN,1976,0,0,0,16
TUN,1984,0,0,0,28
TUN,1988,0,0,0,45
TUN,1992,0,0,0,15
TUN,1996,0,0,1,52
TUN,2000,0,0,0,47
TUN,2004,0,0,0,64
TUN,2008,1,0,0,29
TUN,2012,1,1,1,87
TUN,2016,0,0,3,65
TUR,1906,0,0,0,2
TUR,1912,0,0,0,7
TUR,1924,0,0,0,23
TUR,1928,0,0,0,40
TUR,1932,0,0,0,2
TUR,1936,1,0,1,62
TUR,1948,6,4,2,87
TUR,1952,2,0,1,58
TUR,1956,3,2,2,28
TUR,1960,7,2,0,58
TUR,1964,2,3,1,25
TUR,1968,2,0,0,30
TUR,1972,0,1,0,50
TUR,1976,0,0,0,28
TUR,1984,0,0,3,62
TUR,1988,1,1,0,51
TUR,1992,2,2,2,54
TUR,1996,4,1,1,61
TUR,2000,3,0,2,67
TUR,2004,3,3,5,74
TUR,2008,1,3,3,71
TUR,2012,2,2,1,119
TUR,2016,1,3,4,119
TUV,2008,0,0,0,3
TUV,2012,0,0,0,3
TUV,2016,0,0,0,1
UAE,1984,0,0,0,11
UAE,1988,0,0,0,36
UAE,1992,0,0,0,36
UAE,1996,0,0,0,4
UAE,2000,0,0,0,5
UAE,2004,1,0,0,5
UAE,2008,0,0,0,9
UAE,2012,0,0,0,26
UAE,2016,0,0,1,12
UAR,1960,0,1,1,123
UGA,1956,0,0,0,5
UGA,1960,0,0,0,16
UGA,1964,0,0,0,19
UGA,1968,0,1,1,14
UGA,1972,1,1,0,35
UGA,1980,0,1,0,16
UGA,1984,0,0,0,30
UGA,1988,0,0,0,30
UGA,1992,0,0,0,9
UGA,1996,0,0,1,12
UGA,2000,0,0,0,13
UGA,2004,0,0,0,11
UGA,2008,0,0,0,11
UGA,2012,1,0,0,16
UGA,2016,0,0,0,23
UKR,1996,10,5,19,351
UKR,2000,3,20,12,368
UKR,2004,8,8,31,357
UKR,2008,10,5,16,327
UKR,2012,9,5,12,304
UKR,2016,2,8,5,272
UNK,1912,0,0,0,2
URS,1952,36,62,19,451
URS,1956,68,46,55,411
URS,1960,61,63,45,414
URS,1964,60,63,51,463
URS,1968,65,63,64,471
URS,1972,107,47,60,531
URS,1976,114,95,77,574
URS,1980,187,129,126,660
URS,1988,134,67,99,647
URU,1924,14,0,0,40
URU,1928,17,0,0,17
URU,1932,0,0,1,6
URU,1936,0,0,0,40
URU,1948,0,1,2,79
URU,1952,0,0,14,42
URU,1956,0,0,12,29
URU,1960,0,0,0,42
URU,1964,0,0,1,29
URU,1968,0,0,0,50
URU,1972,0,0,0,20
URU,1976,0,0,0,15
URU,1984,0,0,0,23
URU,1988,0,0,0,18
URU,1992,0,0,0,18
URU,1996,0,0,0,15
